"Arm","Total_cost_disc","LYs_disc","QALYs_disc","Incr_cost","Incr_LYs","Incr_QALYs","ICER_per_QALY"
"Pembrolizumab + PTX +/- Bev",217369.886394889,1.7039227379314,0.92709442265914,187598.129931181,0.341120832427521,0.191208822195021,981116.497542373
"Placebo + PTX +/- Bev",29771.7564637084,1.36280190550388,0.73588560046412,NA,NA,NA,NA
