"incr_cost","incr_qaly","icer"
198272.907887289,0.255077925880965,777303.277821914
173407.713340993,0.148243219624619,1169751.3976025
186960.687780995,0.189786420148476,985110.987576081
184729.843187037,0.106376885637738,1736559.98744057
177555.618672601,0.240136784238808,739393.671966672
188698.620895746,0.0602592649410512,3131445.7798372
210731.737611249,0.262256599084013,803532.640731539
203261.2884512,0.0846310328601712,2401734.70158436
183684.932962387,0.20122321223405,912841.669323601
165988.554776425,0.134560874166762,1233557.34573123
194928.158308786,0.305032205246815,639041.238780217
179796.174098435,0.0702785624405994,2558335.96838868
197006.991806365,0.237299795233956,830202.957453604
195118.300274826,0.173554916990982,1124245.30320259
207580.152669544,0.111523041170703,1861320.76825102
187974.504971074,0.0668832239152659,2810488.10101047
176465.86026853,0.190414508268173,926745.876002276
210503.316979243,0.148349558440828,1418968.27460532
221706.996526416,0.31608475849863,701416.283339639
176145.603969803,0.121429905796875,1450594.91575704
194417.774187756,0.270582801074102,718514.899749718
171839.516959665,0.490024262181001,350675.528176587
184204.453968075,0.159223136213383,1156895.02385642
196433.959511856,0.186001963083972,1056085.41036298
196901.650697498,0.206596456901399,953073.705380494
174836.680006863,0.156657285967261,1116045.63380092
198999.080159324,0.209542862356084,949681.978769373
196991.784016763,0.245785265839362,801479.22351664
182293.625904359,0.210765759022589,864911.011872767
191951.526663672,0.105734100651369,1815417.40537031
181698.049557377,0.245419273374437,740357.703203531
194632.497008218,0.284533932722733,684039.668470333
203466.203721181,0.326218672168598,623711.090381806
195322.739417358,0.252855260823281,772468.560794025
189980.973991331,0.174923028329167,1086083.2664858
195753.104081928,0.143066365416822,1368267.82110249
158569.210778524,0.231097313352256,686157.742287642
189380.68161111,0.250924342796162,754732.20135104
182461.66079999,0.283325146432337,644000.940606819
173546.930709767,0.199173534729146,871335.295353229
178050.776900682,0.162540051365954,1095427.09876353
202176.88289085,0.47174490499651,428572.477941962
166461.777187787,0.0918696608480194,1811934.16467669
164321.017017112,0.227666054409719,721763.362760228
202395.583518932,0.145873501197333,1387473.26867226
186058.755299654,0.45484997092538,409055.22082616
186621.904381254,0.0746315228743765,2500577.46637952
178166.721715052,0.144511030533604,1232893.57952244
202227.931260893,0.19112155739709,1058111.5705369
177060.345991778,0.257664099109949,687175.072520382
182118.011730218,0.0921821914369161,1975631.18094071
175446.689498763,0.0377403887967157,4648778.00925121
187389.717305752,0.252728989244177,741465.068436227
171728.652840885,0.185629358881726,925115.799975918
171009.372920186,0.218950832279831,781040.067943777
162074.933213389,0.101345553054462,1599230.83281505
156769.723323365,0.29967246817354,523136.891015894
177775.530617833,0.135903341511068,1308102.71948578
178161.691907145,0.313705308674466,567926.926898213
175953.792745067,0.208530091621812,843781.304542728
183873.360889213,0.232763738376316,789957.070512157
188811.110112586,0.141430831784133,1335006.71480721
212665.875190975,0.215625043404465,986276.324091265
208691.947991074,0.059042961971715,3534577.89077468
178959.407686315,0.159806919112678,1119847.68043825
192670.981638119,0.0810381229146449,2377535.0996352
189315.251100731,0.208346207970233,908657.051861384
198771.267375641,0.315681048896018,629658.536902273
201536.734537237,0.204558761100996,985226.608982702
196701.98985003,0.199737338125773,984803.300653619
173833.372328349,0.0788778254402731,2203830.68825822
166480.397890558,0.0886077681031009,1878846.53292302
170422.576077547,0.103687084042416,1643623.96388572
187810.426524211,0.159328939690345,1178759.03077758
224167.840531422,0.379064492292753,591371.24444327
213707.824044791,0.331022969786923,645598.171578103
177188.867280043,0.152732745883922,1160123.62807061
183731.091098409,0.315539005384523,582276.95455435
179345.237979722,0.299837124275635,598142.202747559
179471.832448247,0.204488338144204,877662.92237988
223718.437329176,0.22325663116388,1002068.49921048
181980.443406887,0.268986709147717,676540.651333631
190491.479535596,0.171722785094725,1109296.47123134
196954.124934517,0.216348829859594,910354.472738939
186108.943261248,0.290259074474951,641182.170093734
199140.739196382,0.208593803763157,954681.949337726
187669.714175899,0.276667041992891,678323.347891654
180351.139656781,0.226153590478839,797471.927263769
187340.803917883,0.115014089475331,1628850.90663666
199044.275611451,0.146337710181262,1360170.76777341
