"scenario","monthly_pembro","monthly_placebo","incr_cost","incr_qaly","icer","pct_vs_base"
"Base case: excluded (both arms)",0,0,187598.129931181,0.191208822195021,981116.497542373,0
"Generic salvage, gemcitabine-equivalent",88.4644380952381,88.4644380952381,187726.096398007,0.191208822195021,981785.747346628,0.0682130823333699
"Generic salvage, topotecan-equivalent",276.777874285714,276.777874285714,187998.497439645,0.191208822195021,983210.373253067,0.213417643668072
"Mixed: 80% generic / 20% mirvetuximab",8267.65359085714,8267.65359085714,199557.539177893,0.191208822195021,1043662.82312203,6.37501517264545
"Upper bound: all mirvetuximab (implausible)",40231.1564571429,40231.1564571429,245793.706130885,0.191208822195021,1285472.62259788,31.021405288556
