"distribution","incr_cost","incr_qaly","icer","rmst5yr_pembro","rmst5yr_placebo","rmst10yr_pembro","rmst10yr_placebo","os_surv_5yr_pembro","os_surv_5yr_placebo","os_surv_10yr_pembro","os_surv_10yr_placebo","curve_crossing_gap","curve_crossing_flag"
"exp",14275.2829543734,0.997053815199243,14317.4648517049,24.7103696430278,0.17806131802124,27.6077202336677,0.17806131802124,0.117252418012995,4.56051224861811e-147,0.0137481295298942,2.07982719697958e-293,0,FALSE
"weibull",187598.263963839,0.191208747926466,981117.579599362,21.1018619797481,16.8595907984903,21.2771049414343,16.8977776497733,0.0184303371437801,0.00502290851189004,1.46012401591846e-05,6.91821308949361e-07,0,FALSE
"lnorm",199516.958540815,0.284963376578244,700149.475123981,23.5893769734093,18.6392119959237,25.8125986844766,19.4160915845242,0.0834178494070344,0.0351164257592139,0.01416143956997,0.00363206477644905,0,FALSE
"llogis",203419.266114757,0.310055441004106,656073.847489952,23.7197341018959,19.0295777136918,26.8531759184291,20.6219506032812,0.0968741671977509,0.0522135847560904,0.0281725250187229,0.0134111803059922,0,FALSE
"gompertz",184942.435319137,0.153581064298558,1204200.76631071,19.0418637082236,15.7201006752363,19.0418879929128,15.720109364311,1.69219839905785e-05,5.80956428753277e-06,1.55332319850688e-148,1.62350063762629e-104,2.62823256756818e-12,FALSE
"gengamma",200539.915956248,-0.445040790349966,-450610.191929935,17.9859464455825,21.8919165541845,17.9859464455825,26.4126530021452,0,0.110329830105636,0,0.0535438771706382,0.19007066697023,TRUE
