"scenario","u_PF","u_PD","incr_qaly","icer","cut_150k"
"Base case (0.61 / 0.47)",0.61,0.47,0.191208822195021,981116.497542373,89.535051302586
"Both utilities at 0.80",0.8,0.8,0.272896665942017,687432.839399512,82.631509659877
"Both utilities at 0.90",0.9,0.9,0.307008749184769,611051.412799567,79.7486549242903
"ARITHMETIC CEILING: perfect health (1.0)",1,1,0.341120832427521,549946.271519611,76.8658001887036
