"analysis","scenario","disc_rate","horizon_yr","incr_cost","incr_qaly","icer","cut_150k","cut_100k","icer_floor","pct_vs_base"
"Discount rate","0% (undiscounted)",0,30,191898.131220205,0.204142040192023,940022.599165265,88.9451783100794,94.5744589410422,51809.6412788914,-4.18848306801955
"Discount rate","1.5%",0.015,30,189712.906481243,0.197491090360437,960615.01374569,89.2474995011351,94.7524246498034,52337.4504786317,-2.08960748779973
"Discount rate","3% (base case)",0.03,30,187598.129931181,0.191208822195021,981116.497542373,89.535051302586,94.9214833832475,52858.2506870787,0
"Discount rate","5%",0.05,30,184882.0621643,0.183358579027614,1008308.76387003,89.8972383884014,95.1341206254569,53542.2112405665,2.77156345813934
"Time horizon","5 years",0.03,5,187552.427405878,0.186296749184801,1006740.20468189,89.924427541143,95.172484481259,54006.6392778661,2.61168854093314
"Time horizon","10 years",0.03,10,187598.106546909,0.191206058985668,981130.55382293,89.5352716499639,94.9216258898683,52858.8922678996,0.00143268211186371
"Time horizon","20 years",0.03,20,187598.129931181,0.191208822195015,981116.497542399,89.5350513025863,94.9214833832476,52858.2506870785,2.56296877869306e-12
"Time horizon","30 years (base case)",0.03,30,187598.129931181,0.191208822195021,981116.497542373,89.535051302586,94.9214833832475,52858.2506870787,0
