"scenario","window_yr","incr_cost","incr_qaly","icer","cut_150k","pct_vs_base"
"No waning (base case)",NA,187598.129931181,0.191208822195021,981116.497542373,89.535051302586,0
"Waning over 5 years after treatment stop",5,187216.050991618,0.182914229775836,1023518.24251756,90.0207712076291,4.3217849339404
"Waning over 2 years after treatment stop",2,186933.592592712,0.174255273759278,1072757.1599982,90.5934109767282,9.34044659175317
"Immediate loss of effect at treatment stop",0,186078.229915751,0.152134786478231,1223114.28058813,91.9809225186655,24.6655502839822
