"distribution","sse_os_pembro","sse_os_placebo","sse_pfs_pembro","sse_pfs_placebo"
"exp",0.00216744406601495,0.75297,0.373904,0.301076
"weibull",4.39710068071136e-05,0.000246800607047579,7.19835576014173e-30,1.48751125184693e-29
"lnorm",4.85165836017998e-05,0.000152162882648433,9.12120421661795e-30,3.93844969907412e-29
"llogis",4.79232361722342e-05,0.000151099203034659,5.31895628321089e-29,4.32586976668706e-29
"gompertz",3.98180124113794e-05,0.000325879395575619,2.84929779692425e-28,4.70150314304034e-29
"gengamma",3.89147226618176e-05,1.75846271275508e-05,3.87593526242519e-05,0.000878605746441005
