"basis","price_dose","cost_pembro","cost_placebo","incr_cost","incr_qaly","icer"
"WAC",24544,217369.886394889,29771.7564637084,187598.129931181,0.191208822195021,981116.497542373
"ASP+6%",23890.4,212643.345238355,29771.7564637084,182871.588774647,0.191208822195021,956397.234580158
