"population","cost_pembro","cost_placebo","incr_cost","incr_qaly","icer"
"CPS>=1 (base case)",217369.886394889,29771.7564637084,187598.129931181,0.191208822195021,981116.497542373
"Overall (unselected ITT)",224349.675333987,32244.1835825025,192105.491751485,0.194503378726364,987671.746421164
